iter	Passed	Remaining
0	177	177648
1	208	104090
2	243	80820
3	274	68456
4	305	60842
5	338	56057
6	368	52256
7	401	49782
8	434	47887
9	466	46172
10	502	45139
11	533	43914
12	565	42916
13	596	42009
14	627	41175
15	656	40404
16	688	39796
17	719	39225
18	750	38749
19	780	38261
20	812	37893
21	844	37522
22	876	37229
23	905	36833
24	937	36559
25	968	36287
26	998	36000
27	1032	35835
28	1062	35581
29	1093	35367
30	1125	35189
31	1155	34954
32	1186	34774
33	1217	34601
34	1250	34469
35	1281	34326
36	1311	34142
37	1343	33999
38	1373	33838
39	1403	33693
40	1433	33538
41	1466	33440
42	1498	33342
43	1529	33231
44	1559	33093
45	1590	32994
46	1620	32862
47	1652	32772
48	1682	32656
49	1711	32526
50	1742	32425
51	1773	32341
52	1805	32254
53	1834	32136
54	1864	32041
55	1897	31991
56	1927	31891
57	1957	31798
58	1990	31745
59	2020	31647
60	2052	31596
61	2083	31521
62	2113	31439
63	2143	31345
64	2174	31273
65	2205	31216
66	2237	31162
67	2270	31117
68	2300	31035
69	2333	31005
70	2365	30945
71	2394	30863
72	2427	30827
73	2459	30781
74	2491	30729
75	2524	30689
76	2555	30635
77	2587	30579
78	2617	30513
79	2646	30439
80	2677	30380
81	2709	30337
82	2740	30280
83	2770	30212
84	2800	30151
85	2831	30093
86	2863	30046
87	2893	29985
88	2922	29918
89	2953	29866
90	2985	29817
91	3016	29774
92	3047	29722
93	3077	29660
94	3109	29620
95	3142	29592
96	3173	29544
97	3203	29487
98	3236	29455
99	3266	29400
100	3298	29358
101	3328	29306
102	3359	29256
103	3389	29205
104	3419	29149
105	3450	29101
106	3481	29054
107	3514	29025
108	3547	28996
109	3579	28959
110	3611	28926
111	3641	28874
112	3673	28837
113	3705	28799
114	3734	28741
115	3766	28705
116	3798	28670
117	3830	28631
118	3864	28610
119	3894	28560
120	3926	28527
121	3960	28502
122	3991	28461
123	4026	28442
124	4057	28400
125	4088	28356
126	4118	28311
127	4150	28277
128	4182	28236
129	4214	28204
130	4245	28160
131	4277	28126
132	4307	28080
133	4341	28054
134	4372	28013
135	4405	27985
136	4434	27934
137	4464	27889
138	4496	27853
139	4525	27802
140	4557	27763
141	4589	27728
142	4621	27694
143	4652	27655
144	4682	27607
145	4714	27578
146	4744	27532
147	4776	27494
148	4807	27458
149	4837	27413
150	4869	27379
151	4898	27330
152	4931	27302
153	4961	27257
154	4995	27231
155	5025	27189
156	5055	27142
157	5085	27102
158	5115	27058
159	5146	27021
160	5177	26980
161	5209	26947
162	5239	26904
163	5271	26873
164	5302	26834
165	5333	26795
166	5365	26761
167	5397	26728
168	5429	26698
169	5459	26656
170	5491	26620
171	5521	26579
172	5553	26545
